asset_id,paper_title,year,doi,asset_type,method_name,source_location,input,output,project_use,agent_tool,applicability,evidence_status,human_status,caveat
MA001,"The clinical effects of the Össur Power Knee with phase-based and default control during sitting standing and walking",2025,10.1186/s12984-025-01729-2,evaluation_formula,knee moment degree of asymmetry,"PDF p.6, Eq. (2)","bilateral knee moments tau_b and tau_p",DoA_tau,"evaluate bilateral knee-moment symmetry across conditions",compute_knee_moment_asymmetry,conditional,full_pdf_verified,ai_extracted,"original moments come from bilateral biomechanics/inverse dynamics; tau_e is not automatically equivalent"
MA002,"The clinical effects of the Össur Power Knee with phase-based and default control during sitting standing and walking",2025,10.1186/s12984-025-01729-2,statistical_method,participant-level mixed-effects analysis,"PDF p.7","participant-condition technical replicates and condition labels","fixed effects with participant random intercept","analyze repeated conditions without treating gait cycles as independent subjects",fit_mixed_effects_model,direct_after_protocol_fixed,full_pdf_verified,ai_extracted,"final model depends on the approved experiment and cannot be frozen yet"
MA003,"The clinical effects of the Össur Power Knee with phase-based and default control during sitting standing and walking",2025,10.1186/s12984-025-01729-2,experiment_protocol,randomized condition blocks plus acclimation,"PDF pp.4-5","multiple controller conditions and participant schedule","counterbalanced condition data after familiarization","reduce order and learning bias",build_session_schedule,adaptable,full_pdf_verified,ai_extracted,"the paper used amputees and up to four-hour acclimation; duration cannot be copied directly"
MA004,"Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton",2024,10.1109/TRO.2024.3468768,objective_function,trajectory mismatch plus anomaly score,"PDF p.7, Eq. (31)","DMP trajectory weights, measured trajectory, anomaly score","bounded scalar HIL cost","example of combining tracking and conflict information before Bayesian optimization",compute_hil_cost,adaptable,full_pdf_verified,ai_extracted,"the anomaly network and sensors differ from the current project; weights require validation"
MA005,"Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton",2024,10.1109/TRO.2024.3468768,update_protocol,seven-heel-strike batched update,"PDF p.14","six gaits for evaluation plus one gait for optimizer update","next bounded DMP weight vector","reference for separating data collection from low-frequency parameter update",build_optimization_batch,adaptable,full_pdf_verified,ai_extracted,"not evidence that seven strides is optimal for TestStructure.slx"
MA006,"Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton",2024,10.1109/TRO.2024.3468768,algorithm,DMP trajectory generation with Bayesian optimization,"PDF p.18, Algorithm 2","cost history and bounded DMP weights","individualized desired trajectory","numeric optimizer callable by the Agent",optimize_parameters,adaptable,full_pdf_verified,ai_extracted,"first implementation should optimize fewer interpretable parameters rather than the paper's full DMP weights"
MA007,"Code as Policies: Language Model Programs for Embodied Control",2023,10.1109/ICRA48891.2023.10160591,agent_architecture,API-grounded language model programs,"PDF p.3","language instruction, perceptual results, predefined APIs","executable program/API sequence","support LLM tool calling over deterministic exoskeleton functions",call_registered_tool,conceptual_transfer,full_pdf_verified,ai_extracted,"arbitrary generated code is unsafe for this project; use a whitelist and schema validation"
MA008,"Code as Policies: Language Model Programs for Embodied Control",2023,10.1109/ICRA48891.2023.10160591,agent_architecture,hierarchical function generation,"PDF pp.4-5","high-level task and available lower-level functions","composed reusable functions","supports hierarchical orchestration of analysis tools",compose_tool_plan,limited,full_pdf_verified,ai_extracted,"do not allow runtime creation and execution of unreviewed control code"
MA009,"Inner Monologue: Embodied Reasoning through Planning with Language Models",2023,10.48550/arXiv.2207.05608,feedback_protocol,success and state feedback for retry/replan,"PDF pp.2,4,7","binary success, structured state description, optional human feedback","retry, alternative tool choice, or replanned task","map trial quality and safety rejection into Agent feedback",handle_trial_feedback,conceptual_transfer,full_pdf_verified,ai_extracted,"robot manipulation results do not directly prove exoskeleton effectiveness"
MA010,"Plug in the Safety Chip: Enforcing Constraints for LLM-driven Robot Agents",2024,10.1109/ICRA57147.2024.10611447,safety_architecture,independent constraint monitor and reprompting,"PDF pp.1,3-4","Agent proposal, formal constraints, current state","accept/reject decision and violation explanation","keep deterministic veto outside the LLM and return rejection reasons",check_constraints,direct_architecture_transfer,full_pdf_verified,ai_extracted,"the paper uses LTL; the exoskeleton implementation may use simpler validated bounds and state rules"

