category,title,year,doi,url,pdf_status,pdf_path,reason_failed,why_for_project
llm_rehab_interface,Virtual Technician: A multi-modal interface facilitating therapists' adoption of rehab robots,2026,10.18416/AUTOMED.2026.2512,https://www.journals.infinite-science.de/index.php/automed/article/download/2512/1443/9651,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2026_Virtual_Technician_A_multi_modal_interface_facilitating_therapists_adoption_of_rehab_robots.pdf,,Therapist natural language is mapped to rehabilitation robot parameter adjustments.
llm_exoskeleton_interface,LLM-Enabled Incremental Learning Framework for Hand Exoskeleton Control,2025,10.1109/TASE.2024.3382679,https://ieeexplore.ieee.org/document/10489910/,manual_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2025_LLM_Enabled_Incremental_Learning_Framework_for_Hand_Exoskeleton_Control.pdf,,Hand exoskeleton control interface using LLM-enabled incremental command learning.
llm_exoskeleton_interface,A Semantic-Aware Framework for Safe and Intent-Integrative Assistance in Upper-Limb Exoskeletons,2025,10.48550/arXiv.2508.10378,https://arxiv.org/pdf/2508.10378,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2025_A_Semantic_Aware_Framework_for_Safe_and_Intent_Integrative_Assistance_in_Upper_Limb_Exoskeletons.pdf,,LLM extracts task semantics and maps them to safe assistive exoskeleton configurations.
llm_robot_planning,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2023,10.48550/arXiv.2204.01691,https://proceedings.mlr.press/v205/ichter23a/ichter23a.pdf,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_Do_As_I_Can_Not_As_I_Say_Grounding_Language_in_Robotic_Affordances.pdf,,Shows how LLM high-level plans should be constrained by executable robot affordances.
llm_robot_planning,Code as Policies: Language Model Programs for Embodied Control,2023,10.1109/ICRA48891.2023.10160591,https://arxiv.org/pdf/2209.07753,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_Code_as_Policies_Language_Model_Programs_for_Embodied_Control.pdf,,Uses LLM-generated code to call existing robot APIs and parameterized control primitives.
llm_robot_planning,ProgPrompt: Generating Situated Robot Task Plans using Large Language Models,2023,10.1109/ICRA48891.2023.10161317,https://arxiv.org/pdf/2209.11302,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_ProgPrompt_Generating_Situated_Robot_Task_Plans_using_Large_Language_Models.pdf,,Constrains LLM plans through available actions and executable program-like prompts.
llm_robot_planning,Inner Monologue: Embodied Reasoning through Planning with Language Models,2023,10.48550/arXiv.2207.05608,https://arxiv.org/pdf/2207.05608,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_Inner_Monologue_Embodied_Reasoning_through_Planning_with_Language_Models.pdf,,Uses environment and human feedback for closed-loop language-level robot planning.
vla_background,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,10.48550/arXiv.2307.15818,https://arxiv.org/pdf/2307.15818,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_RT_2_Vision_Language_Action_Models_Transfer_Web_Knowledge_to_Robotic_Control.pdf,,Background on direct VLA action models; useful contrast for why knee exoskeletons need safer high-level use.
vla_background,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,10.48550/arXiv.2307.05973,https://arxiv.org/pdf/2307.05973,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2023_VoxPoser_Composable_3D_Value_Maps_for_Robotic_Manipulation_with_Language_Models.pdf,,"LLM/VLM extracts constraints and affordances, then model-based planning handles execution."
vla_failure_detection,AHA: A Vision-Language-Model for Detecting and Reasoning Over Failures in Robotic Manipulation,2024,10.48550/arXiv.2410.00371,https://arxiv.org/pdf/2410.00371,open_access_pdf,D:\Workspace\projects\codex\ExoskeltonWithLLM\papers\2024_AHA_A_Vision_Language_Model_for_Detecting_and_Reasoning_Over_Failures_in_Robotic_Manipulation.pdf,,VLM detects and reasons over manipulation failures; useful as a contrast for supervisory safety/comfort evaluation rather than direct exoskeleton torque control.
