rank,title,year,venue,doi,pdf_status,light_score,ai_role_light,matched_keywords,matched_system_terms,why_light_rank,evidence_card
1,Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3468768,manual_pdf,252,parameter optimizer,human-in-the-loop; human in the loop; bayesian optimization; cma-es; dmp; impedance; stiffness; damping; knee; exoskeleton; wearable robot; phase; adaptive; reinforcement learning; safety; torque,amplitude; kd; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\ac1e222df4fa.md
2,Human-in-the-loop Optimisation in Robot-assisted Gait Training,2025,ArXiv.org,10.48550/arxiv.2510.05780,open_access_pdf,236,parameter optimizer,human-in-the-loop; human in the loop; bayesian optimization; cma-es; covariance matrix adaptation; dmp; impedance; stiffness; damping; knee; exoskeleton; adaptive; stroke; safety; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\87da1ddd76a7.md
3,On human-in-the-loop optimization of human–robot interaction,2024,Nature,10.1038/s41586-024-07697-2,open_access_pdf,209,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; impedance; stiffness; damping; knee; exoskeleton; wearable robot; phase; adaptive; reinforcement learning; hip exoskeleton; stroke; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\5c031c3040a7.md
4,Framework for Personalizing Wearable Devices Using Real-Time Physiological Measures,2023,IEEE Access,10.1109/access.2023.3299873,manual_pdf,200,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; covariance matrix adaptation; dmp; stiffness; knee; exoskeleton; wearable robot; phase; foot pressure; stroke; safety; torque; metabolic,amplitude; tau; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\c6380026955c.md
5,A Lower Limb Exoskeleton Adaptive Control Method Based on Model-free Reinforcement Learning and Improved Dynamic Movement Primitives,2025,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02230-7,open_access_pdf,195,parameter optimizer,human-in-the-loop; dmp; impedance; stiffness; damping; knee; exoskeleton; gait phase; phase; intent; adaptive; reinforcement learning; safety; torque; metabolic,amplitude; phase_offset; kd; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) IMU; method reference only,outputs\evidence_cards\7401ccd9499f.md
6,Review on Control Strategies for Lower Limb Rehabilitation Exoskeletons,2021,IEEE Access,10.1109/access.2021.3110595,manual_pdf,192,parameter optimizer,human in the loop; bayesian optimization; dmp; impedance; stiffness; damping; knee; exoskeleton; gait phase; phase; intent; adaptive; reinforcement learning; musculoskeletal; hip exoskeleton; stroke; safety; torque; metabolic,amplitude; kd,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG; method reference only,outputs\evidence_cards\66b609a8c04a.md
7,Modeling and Stiffness-Based Continuous Torque Control of Lightweight Quasi-Direct-Drive Knee Exoskeletons for Versatile Walking Assistance,2022,IEEE Transactions on Robotics,10.1109/tro.2022.3170287,open_access_pdf,189,parameter optimizer,human-in-the-loop; dmp; impedance; stiffness; damping; knee; exoskeleton; gait phase; phase; adaptive; musculoskeletal; hip exoskeleton; safety; torque,amplitude; phase_offset; tau; kp; safetorque; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG; method reference only,outputs\evidence_cards\10b1e642059c.md
8,"Comparing optimized exoskeleton assistance of the hip, knee, and ankle in single and multi-joint configurations",2021,Wearable Technologies,10.1017/wtc.2021.14,open_access_pdf,181,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; impedance; stiffness; damping; knee; exoskeleton; wearable robot; phase; adaptive; co-adaptive; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\54aba0c37fa5.md
9,Reducing the muscle activity of walking using a portable hip exoskeleton based on human-in-the-loop optimization,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1006326,open_access_pdf,173,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; knee; exoskeleton; wearable robot; gait phase; phase; adaptive; hip exoskeleton; safety; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG; method reference only,outputs\evidence_cards\a6ba0a042b07.md
10,Adaptive Modular Neural Control for Online Gait Synchronization and Adaptation of an Assistive Lower-Limb Exoskeleton,2023,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3263044,open_access_pdf,172,parameter optimizer,bayesian optimization; dmp; impedance; knee; exoskeleton; phase; adaptive; safety; torque,amplitude; phase_offset; tau; kp; kd; safetorque; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\d3157c046e7d.md
