title,year,venue,doi,pdf_status,ai_role,control_base,optimized_parameters,objective,sensors,subjects,metrics,semantic_input_type,semantic_output_type,robot_closed_loop,parameter_mapping,implementation_difficulty,quick_paper_fit,relevance_score,why_relevant
A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,,10.36227/techrxiv.22327378.v1,manual_pdf,参数优化器,"impedance control, low-frequency optimizer, high-level interface","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",metabolic cost,"IMU, 膝力矩/交互力矩, 治疗师/语义输入",未从摘要确认,metabolic cost,therapist instruction / clinical goal,"control/impedance parameters, trajectory or gait features, mode switching / intent",simulation only,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,115,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,,10.36227/techrxiv.22327378,manual_pdf,参数优化器,"impedance control, low-frequency optimizer, high-level interface","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",metabolic cost,"IMU, 膝力矩/交互力矩, 治疗师/语义输入",未从摘要确认,metabolic cost,therapist instruction / clinical goal,"control/impedance parameters, trajectory or gait features, mode switching / intent",simulation only,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,115,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
A Lower Limb Exoskeleton Adaptive Control Method Based on Model-free Reinforcement Learning and Improved Dynamic Movement Primitives,2025,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02230-7,open_access_pdf,参数优化器,"impedance control, DMP, low-frequency optimizer","助力时机/phase_offset, MO_Kp/MO_Kd/阻抗参数",interaction torque/force,膝力矩/交互力矩,15 healthy,interaction torque/force,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,106,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset
Human-in-the-loop Optimisation in Robot-assisted Gait Training,2025,ArXiv.org,10.48550/arxiv.2510.05780,open_access_pdf,参数优化器,"low-frequency optimizer, high-level interface","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,治疗师/语义输入,healthy participants（数量待查 PDF）,待从 PDF/全文确认,therapist instruction / clinical goal,"control/impedance parameters, trajectory or gait features",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,secondary angle only,99,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
"Comparing optimized exoskeleton assistance of the hip, knee, and ankle in single and multi-joint configurations",2021,Wearable Technologies,10.1017/wtc.2021.14,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,metabolic cost,IMU,未从摘要确认,metabolic cost,not semantic / not reported,not reported,not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,96,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
On human-in-the-loop optimization of human–robot interaction,2024,Nature,10.1038/s41586-024-07697-2,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,95,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Reducing the muscle activity of walking using a portable hip exoskeleton based on human-in-the-loop optimization,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1006326,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,metabolic cost,膝力矩/交互力矩,未从摘要确认,metabolic cost,not semantic / not reported,not reported,yes/likely,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,95,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
Review of adaptive control for stroke lower limb exoskeleton rehabilitation robot based on motion intention recognition,2023,Frontiers in Neurorobotics,10.3389/fnbot.2023.1186175,open_access_pdf,状态估计器,"impedance control, DMP","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,待确认,stroke participants/patients（数量待查 PDF）,待从 PDF/全文确认,therapist instruction / clinical goal,mode switching / intent,not confirmed,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,94,可增强 AO/Phi/Phase0Event 或足底负重/意图估计；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,2023 American Control Conference (ACC),10.23919/acc55779.2023.10155858,metadata_only,参数优化器,"impedance control, low-frequency optimizer, high-level interface","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,therapist instruction / clinical goal,not reported,not confirmed,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,94,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Shaping high-performance wearable robots for human motor and sensory reconstruction and enhancement,2024,Nature Communications,10.1038/s41467-024-46249-0,open_access_pdf,参数优化器,"impedance control, DMP, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,GUI/button/shared-control interface,not reported,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,91,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
Optimization of Torque-Control Model for Quasi-Direct-Drive Knee Exoskeleton Robots Based on Regression Forecasting,2024,Sensors,10.3390/s24051505,abstract_only,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,EMG reduction/activity,"IMU, 膝力矩/交互力矩, EMG",未从摘要确认,EMG reduction/activity,not semantic / not reported,"control/impedance parameters, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,87,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Reducing Squat Physical Effort Using Personalized Assistance From an Ankle Exoskeleton,2022,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3186692,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,"metabolic cost, gait symmetry",待确认,stroke participants/patients（数量待查 PDF）,"metabolic cost, gait symmetry",not semantic / not reported,"control/impedance parameters, trajectory or gait features",not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,84,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
Ultra-Robust Real-Time Estimation of Gait Phase,2022,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3207919,manual_pdf,参数优化器,"impedance control, low-frequency optimizer","助力时机/phase_offset, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",RMSE,膝角度,14 participants,RMSE,not semantic / not reported,trajectory or gait features,not confirmed,"phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,81,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset
