source_id,title,year,doi,path,words,arc,rehab_context,assistive_need,control_backbone,personalization_gap,ai_optimizer,sensing_state,safety_deployment,contribution_marker
03873cfb6440,Therapist-exoskeleton-patient interaction for gait therapy,2026,10.1126/scirobotics.adz9628,outputs\text_cache\03873cfb6440.txt,314,assistance benefit -> individual tuning gap,4,3,0,1,0,1,0,0
1253ca971f6a,"Electromyography Signal Acquisition, Filtering, and Data Analysis for Exoskeleton Development",2025,10.3390/s25134004,outputs\text_cache\1253ca971f6a.txt,1080,personalization -> control parameters -> optimizer,2,4,1,2,1,2,3,1
163dfa4f6765,Dynamic Movement Primitives Modulation-Based Compliance Control for a New Sitting/Lying Lower Limb Rehabilitation Robot,2024,10.1109/access.2024.3376391,outputs\text_cache\163dfa4f6765.txt,1122,rehabilitation need -> control backbone -> deployability,5,2,6,2,0,2,4,1
16f020d94d3c,Exoskeleton robot control for synchronous walking assistance in repetitive manual handling works based on dual unscented Kalman filter,2018,10.1371/journal.pone.0200193,outputs\text_cache\16f020d94d3c.txt,195,general background -> proposed method,0,2,0,0,0,0,1,0
1798a167d4fa,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,10.48550/arXiv.2307.15818,outputs\text_cache\1798a167d4fa.txt,221,general background -> proposed method,0,0,0,0,0,0,0,0
1d287d5120a7,AHA: A Vision-Language-Model for Detecting and Reasoning Over Failures in Robotic Manipulation,2024,10.48550/arXiv.2410.00371,outputs\text_cache\1d287d5120a7.txt,584,general background -> proposed method,0,0,0,1,1,1,0,1
20bebe804be2,Learning Cooperative Primitives with physical Human-Robot Interaction for a HUman-powered Lower EXoskeleton,2016,10.1109/iros.2016.7759787,outputs\text_cache\20bebe804be2.txt,341,controller capability -> remaining control gap,0,1,3,0,0,0,1,2
234eda49b502,Novel Design on Knee Exoskeleton with Compliant Actuator for Post-Stroke Rehabilitation,2025,10.3390/s25010153,outputs\text_cache\234eda49b502.txt,1171,personalization -> control parameters -> optimizer,5,2,2,1,1,1,3,2
29e30970fea9,Optimizing lower limb rehabilitation: the intersection of machine learning and rehabilitative robotics,2024,10.3389/fresc.2024.1246773,outputs\text_cache\29e30970fea9.txt,1075,personalization -> control parameters -> optimizer,3,2,1,4,3,2,1,0
2a1494f4efd8,"Improving CMA-ES Convergence Speed, Efficiency, and Reliability in Noisy Robot Optimization Problems",2026,,outputs\text_cache\2a1494f4efd8.txt,520,assistance benefit -> individual tuning gap,0,3,0,2,1,1,0,0
2d7bbd000935,"A versatile knee exoskeleton mitigates quadriceps fatigue in lifting, lowering, and carrying tasks",2024,10.1126/scirobotics.adr8282,outputs\text_cache\2d7bbd000935.txt,395,general background -> proposed method,0,1,0,0,0,1,2,0
320d15b3283c,Powered knee exoskeleton improves sit-to-stand transitions in stroke patients using electromyographic control,2025,10.1038/s44172-025-00440-3,outputs\text_cache\320d15b3283c.txt,421,assistance benefit -> individual tuning gap,3,3,0,1,0,0,0,0
35608be3edbf,Optimized hip-knee-ankle exoskeleton assistance reduces the metabolic cost of walking with worn loads,2021,10.1186/s12984-021-00955-8,outputs\text_cache\35608be3edbf.txt,1236,assistance benefit -> individual tuning gap,0,4,0,1,1,1,0,1
3ba6ad2fe8bb,Precision Interaction Force Control of an Underactuated Hydraulic Stance Leg Exoskeleton Considering the Constraint from the Wearer,2021,10.3390/machines9050096,outputs\text_cache\3ba6ad2fe8bb.txt,171,general background -> proposed method,0,1,0,0,0,0,0,0
3eefda579f3e,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2023,10.48550/arXiv.2204.01691,outputs\text_cache\3eefda579f3e.txt,527,general background -> proposed method,0,0,0,1,0,0,1,0
40b22b399909,Human-in-the-loop optimization of wearable device parameters using an EMG-based objective function,2024,10.1017/wtc.2024.9,outputs\text_cache\40b22b399909.txt,596,assistance benefit -> individual tuning gap,0,3,0,3,1,1,2,0
49cce004db4f,Adaptive Control of Exoskeleton Robots for Periodic Assistive Behaviours Based on EMG Feedback Minimisation,2016,10.1371/journal.pone.0148942,outputs\text_cache\49cce004db4f.txt,137,general background -> proposed method,1,2,0,0,0,0,0,0
4a636ace8994,Simplifying rehabilitation control of lower-limb exoskeletons in five ambulation modes via dataset-driven state-machine calibration,2026,10.1186/s12984-026-01917-8,outputs\text_cache\4a636ace8994.txt,147,general background -> proposed method,1,3,0,0,0,0,0,0
4db86b02f347,Review of adaptive control for stroke lower limb exoskeleton rehabilitation robot based on motion intention recognition,2023,10.3389/fnbot.2023.1186175,outputs\text_cache\4db86b02f347.txt,631,assistance benefit -> individual tuning gap,4,2,0,2,0,1,1,0
54aba0c37fa5,"Comparing optimized exoskeleton assistance of the hip, knee, and ankle in single and multi-joint configurations",2021,10.1017/wtc.2021.14,outputs\text_cache\54aba0c37fa5.txt,734,general background -> proposed method,1,6,0,0,0,1,0,0
58e5fa405f53,Speech-Based Human-Exoskeleton Interaction for Lower Limb Motion Planning,2023,10.48550/arXiv.2310.03137,outputs\text_cache\58e5fa405f53.txt,172,assistance benefit -> individual tuning gap,1,1,0,1,0,1,2,0
